iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
DOM,2020,Summer,0.0,3.0,2.0,5.0,1,Dominican Republic,11008300.0,78546672406.8291,7135.22273255899,72.636,93.7009782823312,6.126
ECU,2020,Summer,2.0,1.0,0.0,3.0,1,Ecuador,17546065.0,95865473000.0,5463.64515348598,72.004,93.629997253418,6.127
EGY,2020,Summer,1.0,1.0,4.0,6.0,1,"Egypt, Arab Rep.",109315124.0,383817841547.099,3511.11381026379,69.79,79.4565788949049,7.974
ETH,2020,Summer,1.0,1.0,2.0,4.0,1,Ethiopia,118917671.0,107657732424.155,905.313159254148,65.969,60.4599990844727,3.994
FJI,2020,Summer,1.0,0.0,1.0,2.0,1,Fiji,914963.0,4432466219.87685,4844.42127154524,66.924,,4.649
GEO,2020,Summer,2.0,5.0,1.0,8.0,1,Georgia,3722716.0,16010869215.68,4300.85701291207,73.509,99.9403171161963,11.73
GHA,2020,Summer,0.0,0.0,1.0,1.0,1,Ghana,31887809.0,70008243859.8666,2195.45481659987,64.309,,3.313
GRC,2020,Summer,2.0,1.0,1.0,4.0,1,Greece,10698599.0,191362985554.861,17886.733165236,81.2878048780488,,15.899
GRD,2020,Summer,0.0,0.0,1.0,1.0,1,Grenada,116341.0,1043411111.11111,8968.55890108484,75.019,,
HKG,2020,Summer,1.0,2.0,3.0,6.0,1,"Hong Kong SAR, China",7481000.0,344943149590.058,46109.2299946609,85.4963414634146,,5.808
IND,2020,Summer,1.0,2.0,4.0,7.0,1,India,1402617695.0,2674851578587.27,1907.04251637669,70.156,75.5437727049002,7.859
IDN,2020,Summer,1.0,1.0,3.0,5.0,1,Indonesia,274814866.0,1059054842698.48,3853.70288774146,68.817,96.0,4.255
IRL,2020,Summer,2.0,0.0,2.0,4.0,1,Ireland,5039747.0,436555518400.451,86622.5067251295,82.4560975609756,,5.623
IRN,2020,Summer,3.0,2.0,2.0,7.0,1,"Iran, Islamic Rep.",87723443.0,262186179355.944,2988.78122414716,74.141,87.9027874156509,9.687
ISR,2020,Summer,2.0,0.0,2.0,4.0,1,Israel,9215100.0,410768352657.612,44575.5719045492,82.6487804878049,,4.169
